MinPoints
20
15
10
9
8
10
7
7
6
4
10
8
7
6
6
4
10
8
6
6
6
11
8
7
6
6
4
8
8
7
7
6
8
7
7
7
6
5
8
8
7
7
6
5
8
7
7
6
5
8
8
7
7
7
6
8
7
7
7
6
5
