Epsilon2
30
40
59
65
71
25
40
50
60
90
25
35
50
60
70
90
25
35
50
60
70
30
35
50
60
70
90
20
35
50
65
75
35
50
60
65
65
140
20
35
50
65
65
140
35
50
65
65
140
20
35
50
60
65
65
35
50
60
65
65
140
