Epsilon1
400
1000
2000
2000
1500
800
1200
1400
1000
800
800
1000
1400
1000
1000
800
1200
1400
1400
1200
1000
1400
1600
1600
1200
1000
1000
800
800
1500
1000
800
800
1500
2000
1000
800
800
800
800
1500
1000
1000
1000
800
1500
800
800
800
800
800
800
1500
800
800
800
1500
1500
800
800
800
